Timestamp,Age,Gender,Is advertisement necessary to attract the consumers?,Is print advertisement (Newspaper etc)to be necessary?,Is the outdoor/street advertising relevance to Your daily life?,"Is outdoor/street advertisement poorly displayed, that's why not attractive? ","In this competition market, any product can’t survive without advertisement?",Do You buy the goods when you feel its necessary/needed?,Is restrictive advertisement also attract your mind and convince you.,Is advertisement a source of pleasure & entertainment? ,Do You think that television commercials have vast coverage than anything else?,Is advertisement always an influence & dominate You?,Do You like to buy the goods for dominance & increase the standard of living in society?,"Is advertisement create the awareness, so that You prefer to buy the low priced goods?",Is advertisement convince You to buy the same brands? ,"Is the FMCG Co. should give ads, for brand recall in Your mind?",Is your participation in purchasing influenced by friends & family? ,Is advertisement stimulate or encourage You to purchase the products?,Is advertisement always influence Your buying habits?,"Is advertisement motivate you, to shift from one brand to another brand? "
7/4/2021 18:50:55,18-24,Male,Yes,Yes,Maybe,Yes,Yes,Yes,Maybe,No,Maybe,Maybe,No,Maybe,Maybe,Maybe,Maybe,Maybe,No,Maybe
7/4/2021 18:57:18,18-24,Male,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
7/4/2021 19:02:08,18-24,Male,Maybe,Yes,Yes,Maybe,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes
7/4/2021 19:05:21,18-24,Male,Yes,Yes,Maybe,No,Yes,Yes,Maybe,No,Maybe,Maybe,Yes,Maybe,Yes,Yes,Yes,Yes,Maybe,Yes
7/4/2021 19:09:44,18-24,Male,Yes,Yes,Maybe,Maybe,No,Yes,Yes,Maybe,No,Yes,No,Yes,Yes,Maybe,Yes,No,Yes,Maybe
7/4/2021 19:27:13,18-24,Male,Yes,Yes,Yes,Maybe,Yes,Yes,Maybe,Yes,Yes,No,Yes,No,Yes,Maybe,Yes,Yes,Yes,No
7/4/2021 19:48:42,18-24,Male,Maybe,Maybe,No,Maybe,No,Yes,Maybe,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No
7/4/2021 19:49:54,18-24,Male,Yes,Maybe,Yes,Yes,Yes,Yes,Maybe,Maybe,Maybe,Maybe,Yes,Yes,Yes,Maybe,Maybe,Yes,Maybe,Yes
7/4/2021 19:50:30,18-24,Male,Yes,Yes,Yes,Maybe,Maybe,Yes,Maybe,No,No,Yes,Maybe,Maybe,Maybe,Maybe,Yes,Maybe,No,Yes
7/4/2021 19:53:14,18-24,Male,Yes,Yes,Maybe,Maybe,Maybe,Maybe,Yes,Yes,Maybe,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
7/4/2021 19:54:29,18-24,Male,Yes,Yes,Yes,Maybe,Yes,Yes,Maybe,No,No,Yes,Maybe,Yes,Yes,Maybe,Yes,Yes,No,Yes
7/4/2021 19:57:27,18-24,Male,Maybe,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Maybe,Yes,Yes,Yes,Yes,Yes,Yes,Maybe,Yes
7/4/2021 20:43:43,18-24,Male,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
7/4/2021 20:46:54,18-24,Male,Maybe,Yes,Maybe,Maybe,No,Yes,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,No,Maybe,Maybe,Maybe,Maybe,Maybe
7/4/2021 21:25:15,18-24,Male,Maybe,No,Yes,Yes,Maybe,Yes,Maybe,No,Yes,Maybe,Maybe,Maybe,Yes,Yes,Yes,Yes,No,Maybe
7/4/2021 21:42:22,18-24,Male,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No
7/4/2021 21:45:15,18-24,Male,Maybe,Maybe,No,Yes,Maybe,Yes,No,Maybe,Yes,Maybe,Maybe,No,Yes,No,Maybe,No,No,No
7/5/2021 0:35:51,18-24,Female,Yes,Yes,Maybe,No,Yes,Yes,Maybe,Yes,No,No,Yes,Maybe,Maybe,No,Maybe,Maybe,Maybe,Maybe
7/5/2021 9:02:47,18-24,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
7/5/2021 9:23:04,18-24,Male,Maybe,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Maybe,Maybe,Maybe,Yes,No,Yes
7/5/2021 9:51:19,18-24,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
7/5/2021 20:18:28,18-24,Female,Yes,Yes,Maybe,No,Maybe,Yes,Maybe,Maybe,Yes,Maybe,Yes,Yes,Yes,Yes,No,Maybe,Maybe,Yes
7/7/2021 2:42:15,18-24,Male,Yes,Maybe,No,Maybe,Maybe,Yes,Yes,Yes,Maybe,No,Maybe,Yes,Maybe,No,Maybe,Maybe,No,Maybe
